Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
,,,,,,,,,,,,,,,,,,,
 * * * * VANILLA BLOCKS * * * * ,,,,,,,,,,,,,,,,,,,
rugBearPlayer,blocks,block,,,[4DFF00]Bear Rug®[-],,,,,,,,,,,,,,
rugBearPlayerDesc,blocks,block,,,"You're a 70s icon, and not afraid to show it. \nDestroy to pick up.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 * * * * TEH ITEMS * * * * ,,,,,,,,,,,,,,,,,,,
kale,items,Food,,,[4DFF00]Kale®,,,,,,,,,,,,,,
kaleDesc,items,Food,,,Admit it ... you're not doing this to maintain a healthy lifestyle. Pairs nicely with the [4DFF00]Weedwacker®[ffffff].,,,,,,,,,,,,,,
trailMix,items,Food,,,[4DFF00]Trail Mix®[-],,,,,,,,,,,,,,
trailMixDesc,items,Food,,,Only slightly better than [4DFF00]Kale®[ffffff].,,,,,,,,,,,,,,
weedwacker,items,Melee,,,[4DFF00]Weedwacker®[-],,,,,,,,,,,,,,
weedwackerDesc,items,Melee,,,Mowing the yard still isn't easy ... but at least it's fast!,,,,,,,,,,,,,,
tehWoodCrate,blocks,Block,,,[4DFF00]Wood Crate®[-],,,,,,,,,,,,,,
tehLeatherTrunk,blocks,Block,,,[4DFF00]Leather Trunk®[-],,,,,,,,,,,,,,
tehReinforcedChest,blocks,Block,,,[4DFF00]Reinforced Chest®,,,,,,,,,,,,,,
tehHardenedChestSmall,blocks,Block,,,[4DFF00]Small Hardened Chest®,,,,,,,,,,,,,,
tehHardenedChestLarge,blocks,Block,,,[4DFF00]Large Hardened Chest®,,,,,,,,,,,,,,
tehStorageDesc,blocks,Block,,,This box has a 100-slot capacity. Make sure you know where you want to place it because these aren't easy to move.,,,,,,,,,,,,,,
tehHardenedChestLargeDesc,blocks,Block,,,This box has a 150-slot capacity. Make sure you know where you want it to go cus these bad boys are bolted in place.,,,,,,,,,,,,,,
tehSturdyStorageContainerVariantHelper,blocks,Block,,,[4DFF00]Sturdy Storage Containers®,,,,,,,,,,,,,,
tehSturdyStorageContainerWhite,blocks,Block,,,[4DFF00]Sturdy Storage Container White®,,,,,,,,,,,,,,
tehSturdyStorageContainerBrown,blocks,Block,,,[4DFF00]Sturdy Storage Container Brown®,,,,,,,,,,,,,,
tehSturdyStorageContainerRed,blocks,Block,,,[4DFF00]Sturdy Storage Container Red®,,,,,,,,,,,,,,
tehSturdyStorageContainerOrange,blocks,Block,,,[4DFF00]Sturdy Storage Container Orange®,,,,,,,,,,,,,,
tehSturdyStorageContainerYellow,blocks,Block,,,[4DFF00]Sturdy Storage Container Yellow®,,,,,,,,,,,,,,
tehSturdyStorageContainerGreen,blocks,Block,,,[4DFF00]Sturdy Storage Container Green®,,,,,,,,,,,,,,
tehSturdyStorageContainerBlue,blocks,Block,,,[4DFF00]Sturdy Storage Container Blue®,,,,,,,,,,,,,,
tehSturdyStorageContainerPurple,blocks,Block,,,[4DFF00]Sturdy Storage Container Purple®,,,,,,,,,,,,,,
tehSturdyStorageContainerPink,blocks,Block,,,[4DFF00]Sturdy Storage Container Pink®,,,,,,,,,,,,,,
tehSturdyStorageContainerGrey,blocks,Block,,,[4DFF00]Sturdy Storage Container Grey,,,,,,,,,,,,,,
tehSturdyStorageContainerBlack,blocks,Block,,,[4DFF00]Sturdy Storage Container Black®,,,,,,,,,,,,,,
tehSportsBag02VariantHelper,blocks,Block,,,[4DFF00]Sports Bags®,,,,,,,,,,,,,,
tehSportsBag02White,blocks,Block,,,[4DFF00]Sports Bag White®,,,,,,,,,,,,,,
tehSportsBag02Brown,blocks,Block,,,[4DFF00]Sports Bag Brown®,,,,,,,,,,,,,,
tehSportsBag02Red,blocks,Block,,,[4DFF00]Sports Bag Red®,,,,,,,,,,,,,,
tehSportsBag02Orange,blocks,Block,,,[4DFF00]Sports Bag Orange®,,,,,,,,,,,,,,
tehSportsBag02Yellow,blocks,Block,,,[4DFF00]Sports Bag Yellow®,,,,,,,,,,,,,,
tehSportsBag02Green,blocks,Block,,,[4DFF00]Sports Bag Green®,,,,,,,,,,,,,,
tehSportsBag02Blue,blocks,Block,,,[4DFF00]Sports Bag Blue®,,,,,,,,,,,,,,
tehSportsBag02Purple,blocks,Block,,,[4DFF00]Sports Bag Purple®,,,,,,,,,,,,,,
tehSportsBag02Pink,blocks,Block,,,[4DFF00]Sports Bag Pink®,,,,,,,,,,,,,,
tehSportsBag02Grey,blocks,Block,,,[4DFF00]Sports Bag Grey®,,,,,,,,,,,,,,
tehSportsBag02Black,blocks,Block,,,[4DFF00]Sports Bag Black®,,,,,,,,,,,,,,
tehBackPackDesc,blocks,Block,,,Handy for keeping a few things together in the event of an emergency. Can be thrown just about anywhere.,,,,,,,,,,,,,,
tehWoodRusticCrate,blocks,Block,,,[4DFF00]Rustic Wooden Crate®,,,,,,,,,,,,,,
tehIronRusticCrate,blocks,Block,,,[4DFF00]Rustic Iron Crate®,,,,,,,,,,,,,,
tehSteelRusticCrate,blocks,Block,,,[4DFF00]Rustic Steel Crate®,,,,,,,,,,,,,,
tehBulkGoodsVariantHelper,blocks,Block,,,[4DFF00]Bulk Goods®,,,,,,,,,,,,,,
tehBulkGoodsTarpWhite,blocks,Block,,,[4DFF00]Bulk Goods White®,,,,,,,,,,,,,,
tehBulkGoodsTarpBrown,blocks,Block,,,[4DFF00]Bulk Goods Brown®,,,,,,,,,,,,,,
tehBulkGoodsTarpRed,blocks,Block,,,[4DFF00]Bulk Goods Red®,,,,,,,,,,,,,,
tehBulkGoodsTarpOrange,blocks,Block,,,[4DFF00]Bulk Goods Orange®,,,,,,,,,,,,,,
tehBulkGoodsTarpGreen,blocks,Block,,,[4DFF00]Bulk Goods Green®,,,,,,,,,,,,,,
tehBulkGoodsTarpBlue,blocks,Block,,,[4DFF00]Bulk Goods Blue®,,,,,,,,,,,,,,
tehBulkGoodsTarpPink,blocks,Block,,,[4DFF00]Bulk Goods Pink®,,,,,,,,,,,,,,
tehBulkGoodsTarpPurple,blocks,Block,,,[4DFF00]Bulk Goods Purple®,,,,,,,,,,,,,,
tehBulkGoodsTarpGrey,blocks,Block,,,[4DFF00]Bulk Goods Grey®,,,,,,,,,,,,,,
tehBulkGoodsTarpBlack,blocks,Block,,,[4DFF00]Bulk Goods Black®,,,,,,,,,,,,,,
tehBulkBricks,blocks,Block,,,[4DFF00]Bulk Goods Brick®,,,,,,,,,,,,,,
tehBulkGoodsDesc,blocks,Block,,,A place for everything and everything in it's place. These large containers are lockable.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
bed02VariantHelper,blocks,Block,,,[4DFF00]Luxury Beds®,,,,,,,,,,,,,,
bed02White,blocks,Block,,,[4DFF00]Luxury Bed White,,,,,,,,,,,,,,
bed02Brown,blocks,Block,,,[4DFF00]Luxury Bed Brown®,,,,,,,,,,,,,,
bed02Red,blocks,Block,,,[4DFF00]Luxury Bed Red®,,,,,,,,,,,,,,
bed02Orange,blocks,Block,,,[4DFF00]Luxury Bed Orange®,,,,,,,,,,,,,,
bed02Yellow,blocks,Block,,,[4DFF00]Luxury Bed Yellow®,,,,,,,,,,,,,,
bed02Green,blocks,Block,,,[4DFF00]Luxury Bed Green®,,,,,,,,,,,,,,
